ESTADO;MUNICÍPIO (S)                                                           ;ESCALA;FINALIDADE; NºAUT/ANO;      EMPRESA;PROJETO
MG;Ouro Preto, Conselheiro Lafaiete, São Brás do Suaçuí, Jeceaba, Ouro Branco, Congonhas, Itaverava, Dores de Guanhães, Guanhães, Braúnas, Açucena, Naque, Iapu, Bugre, Ferros, Joanésia, Mesquita, Belo Oriente, Santana do Paraíso, Ipaba, Ipatinga, Caratinga, Bom Jesus do Galho, Coronel Fabriciano, Marliéria, Timóteo, Jaguaraçu, Antônio Dias, Itambé do Mato Dentro, Itabira, Santa Maria de Itabira, Nova Era, Bela Vista de Minas, João Monlevade, São Gonçalo do Rio Abaixo, Rio Piracicaba, Bom Jesus do Amparo, Nova União, São Domingos do Prata, Alvinópolis, Dom Silvério, Sem-Peixe, Rio Doce, Santa Cruz do Escalvado, Ponte Nova, Barra Longa, Piedade de Ponte Nova, Urucânia, Mariana, Catas Altas, Santa Bárbara, Barão de Cocais, Caeté, Raposos, Nova Lima, Sabará, Taquaraçu de Minas, Jaboticatubas, Belo Horizonte, Santa Luzia, Lagoa Santa, Vespasiano, São José da Lapa, Confins, Pedro Leopoldo, Matozinhos, Funilândia, Baldim, Prudente de Morais, Jequitibá, Araçaí, Cordisburgo, Sete Lagoas;GSD 10 e 35 cm;Aerofotogrametria e Perfilamento a Laser;039/2017;ENGEFOTO;1089A/2017
RS;Santo Antônio do Planalto, Victor Graef, Ibirapuitã, Mormaço, Soledade, Fontoura Xavier, São José do Herval, Pouso Novo, Marques de Souza, Travesseiro, Arroio do Meio, Lajeado, Estrela, Bom Retiro do Sul, Fazenda Vila Nova, Taquari, Tabaí, Paverama, Triunfo, Monte Negro, Nova Santa Rita, Canoas;Não aplicável;Perfilamento a Laser;185/2017;ENGEFOTO;010/2017
SC;Capivari de Baixo, Laguna, Treviso, Siderópolis, Forquilha, Criciúma, Içara;GSD 06 a 09 cm;Aerofotogrametria e Perfilamento a Laser;079/2017;ENGEFOTO;005/2017
RS;Garibaldi, Boa Vista do Sul, Imigrante, Roca Sales, Colinas, Lajeado, Estrela, Bagé, Hulha Negra, Candiota;Não aplicável;Perfilamento a Laser;141/2017;ENGEFOTO;005A/2017
PE;Poção, Primavera;GSD 4 cm;Aerofotogrametria e Perfilamento a Laser;153/2018;ENGEFOTO;1125/2018
MG;Divinópolis;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;233/2018;ENGEFOTO;1127/2018
PA;Altamira;GSD 5 cm;Aerofotogrametria e perfilamento a laser;047/2019;ENGEFOTO;1133/2019
PR;Pinhais;GSD 09 cm;Aerofotogrametria;010/2019;ENGEFOTO;1134/2018
SP;Brotas;GSD 02 cm ;Aerofotogrametria;134/2019;ENGEFOTO;1131A/2019
BA;Buritirama, Mansidão, Santa Rita de Cássia;GSD 25 cm;Aerofotogramteria e Perfilamento a Laser;247/2019;ENGEFOTO;0009/2019
PI;Sebastião Barros, Cristalândia do Piauí, Corrente, Parnaguá, Júlio Borges;GSD 25 cm;Aerofotogramteria e Perfilamento a Laser;247/2019;ENGEFOTO;0009/2019
