ESTADO;MUNICÍPIO (S)                                                           ;ESCALA;FINALIDADE; NºAUT/ANO;      EMPRESA;PROJETO
DF;Brasília;GSD 10 cm;Aerofotogrametria;018/2019;SERTEC;001/2019
RS;Santa Maria;GSD 10 cm;Aerofotogrametria;014/2019;SERTEC;002/2019
RS;Santa Maria;GSD 10 cm;Aerofotogrametria;190/2019;SERTEC;005/2019
SP;Mogi Guaçu;14 cm e 20 cm;Aerofotogrametria;014/2016;SSR;SSR-035-2016
SP;Lorena;GSD 12 cm;Aerofotogrametria;207/2017;SSR;SSR-045-2017
SP;Registro;GSD 12 cm;Aerofotogrametria;045/2017;SSR;SSR-037-2017
SP;São Lourenço da Serra;GSD 12 cm;Aerofotogrametria;099/2017;SSR;SSR-038-2017
SP;Ibitinga;GSD 12 cm;Aerofotogrametria;100/2017;SSR;SSR-039-2017
MG;São Sebastião do Paraíso;GSD 12 cm;Aerofotogrametria;005/2018;SSR;SSR-46-2017
SP;Luis Antônio;GSD 10 cm;Aerofotogrametria;139/2017;SSR;041/2017
SP;Piedade;GSD 12 a 35 cm;Aerofotogrametria;150/2017;SSR;042/2017
MG;Capitólio;GSD 10 a 35 cm;Aerofotogrametria;184/2017;SSR;043/2017
SP;Birigui;GSD 12 cm;Aerofotogrametria;187/2017;SSR;044/2017
SP;Valinhos;GSD 10 cm;Aerofotogrametria;020/2018;SSR;SSR-047-2018
MG;Curvelo;GSD 10 cm;Aerofotogrametria;035/2018;SSR;SSR-048-2018
SP;Taubaté;GSD 10 e 30 cm;Aerofotogrametria;061/2018;SSR;SSR-049-2018
SP;Jarinu;GSD 12 cm;Aerofotogrametria;129/2018;SSR;SSR-050-2018
SP;Carapicuíba;GSD 10 cm;Aerofotogrametria;149/2018;SSR;SSR-051-2018
SP;Caraguatatuba;GSD 10 cm e 35 cm;Aerofotogrametria;188/2018;SSR;SSR-052-2018
PA;Oriximiná;1:1.000;Aerofotogrametria e Perfilamento a Laser;070/2018;TERRAGRAPH;001/2018
PA;Oriximiná, Terra Santa, Faro;1:1.000;Aerofotogrametria e Perfilamento a Laser;072/2018;TERRAGRAPH;002/2018
AM;Presidente Figueiredo;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;168/2018;TERRAGRAPH;abr/18
AM ;Presidente Figueiredo, São Sebastião do Uatumã, Rio Preto da Eva, Urucará;GSD 1 m e 30 cm;Aerofotogrametria e Perfilamento a Laser;157/2018;TERRAGRAPH;003/2018
PA;Oriximiná, Terra Santa;GSD 10 cm ;Aerofotogrametria e perfilamento a laser;003/2019;TERRAGRAPH;001/2019
MT;Paranatinga, Gaúcha do Norte, Campinópolis, Água Boa, Canarana;GSD 15 cm;Aerofotogrametria e Perfilamento a Laser;111/2016;TOPOCART;011/2016
RS;Santa Cruz do Sul;GSD 12 cm;Aerofotogrametria e Perfilamento a Laser;051/2017;TOPOCART;003/2017
BA;Poções, Boa Nova, Manoel Vitorino, Jequié, Jaguaquara, Itaquara, Wenceslau Guimarães, Cravolândia, Ubaíra, Jiquiriçá, Mutuípe, Laje, Amargosa, São Miguel das Matas, Varzedo, Castro Alves, Conceição do Almeida, Sapeaçu;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;031/2017;TOPOCART;001/2017
CE;Milagres, Barro;GSD 30 cm;Aerofotogrametria e Perfilamento a Laser;047/2017;TOPOCART;002/2017
PB;Cachoeira dos Índios, Cajazeiras, São João do Rio do Peixe, Sousa, Lastro, Santa Cruz, Bom Sucesso, Catolé do Rocha;GSD 30 cm;Aerofotogrametria e Perfilamento a Laser;047/2017;TOPOCART;002/2017
RN;Alexandria, João Dias, Patu, Janduís, Messias, Targino, Augusto Severo, Upanema, Paraú, Açu, Ipanguaçu, Itajá, Afonso Bezerra, Angicos, Pedro Avelino, Lajes, Jandaíra, Pedra Preta, João Câmara;GSD 30 cm;Aerofotogrametria e Perfilamento a Laser;047/2017;TOPOCART;002/2017
CE;Limoeiro do Norte, Morada Nova, Russas, Sobral;GSD 15 cm;Aerofotogrametria e Perfilamento a Laser;057/2017;TOPOCART;004/2017
MG;Jordânia, Bandeira, Jacinto, Almenara, Rubim, Jequitinhonha, Felisburgo, Joaíma, Águas Formosas, Monte Formoso, Ponto dos Volantes, Padre Paraíso;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;074/2017;TOPOCART;005/2017
BA;Poções, Planalto, Caatiba, Itambé, Macarani;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;074/2017;TOPOCART;005/2017
MG;Governador Valadares, Frei Inocêncio, Mathias Lobato, Jampruca, Campanário, Craí, Frei Gaspar, Teófilo Otoni, Padre Paraíso, Catuji;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;075/2017;TOPOCART;006/2017
MG;Jaíba, Verdelândia, Janaúba, Gameleiras, Várzea da Palma, Pirapora, Conceição de Jesus, Jequitaí, São João da Lagoa, Claro dos Poções, Montes Claros, Capitão Enéas, Francisco Sá, Espinosa;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;097/2017;TOPOCART;007/2017
BA;Bom Jesus da Lapa, Sebastião Laranjeiras, Palmas de Monte Alto, Riacho de Santana;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;097/2017;TOPOCART;007/2017
PA;São Geraldo do Araguaia ;GSD 20 cm;Aerofotogrametria e Perfilamento a Laser;102/2017;TOPOCART;008/2017
TO;Xambioá, Araguaína;GSD 20 cm;Aerofotogrametria e Perfilamento a Laser;102/2017;TOPOCART;008/2017
MA;Santa Rita , Itapecuru Mirim, Miranda do Norte;1:5.000;Aerofotogrametria e Perfilamento a Laser;131/2017;TOPOCART;009/2017
PI;Piripiri, Brasileira, São João da Fronteira;1:5.000;Aerofotogrametria e Perfilamento a Laser;183/2017;TOPOCART;011/2017
CE;Ibiapina, Ubajara, Coreaú, Sobral;1:5.000;Aerofotogrametria e Perfilamento a Laser;183/2017;TOPOCART;011/2017
PR;Nova Aurora, Corbélia, Ubiratã, Itapejara D'Oeste, Coronel Vivida, Mangueirinha, Foz do Jordão, Reserva do Iguaçu, Tijucas do Sul, São José dos Pinhais, Bocaiúva do Sul, Piraquara, Campina Grande do Sul, Quatro Barras, Guaratuba, Morretes, Antonina;GSD 35 cm;Aerofotogrametria;019/2018;TOPOCART;001/2018
TO;Miranorte, Miracema do Tocantins, Rio dos Bois, Pedro Afonso, Centenário, Lizarda;GSD 15 cm;Aerofotogrametria e Perfilamento a Laser;033/2018;TOPOCART;002/2018
PI;Balsas, Alto Parnaíba, Santa Filomena, Gilbués, Corrente, Cristalândia do Piauí, Monte Alegre do Piauí, Riacho Frio, Sebastião Barro;GSD 15 cm;Aerofotogrametria e Perfilamento a Laser;033/2018;TOPOCART;002/2018
BA;Santa Rita de Cássia, Angical, Barreiras, Riachão das Neves;GSD 15 cm;Aerofotogrametria e Perfilamento a Laser;033/2018;TOPOCART;002/2018
MA;Alto Parnaíba;GSD 15 cm;Aerofotogrametria e Perfilamento a Laser;033/2018;TOPOCART;002/2018
PA;Parauapebas;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;136/2018;TOPOCART;004/2018
MG;Frei Inocêncio, Mathias Lobato, Governador Valadares;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;145/2018;TOPOCART;007/2018
MG;Águas Formosas, Joaíma;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;146/2018;TOPOCART;006/2018
TO;Aparecida do Rio Negro, Bom Jesus do Tocantins, Pedro Afonso, Rio Sono, Santa Maria do Tocantins;GSD 20 cm;Aerofotogrametria e Perfilamento a Laser;152/2018;TOPOCART;008/2018
SP;São Paulo;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;165/2018;TOPOCART;005/2018
GO;Água Fria de Goiás, Alto Paraíso de Goiás, Aporé, Cavalcante, Chapadão do Céu, Cocalzinho de Goiás, Formosa, Jaraguá, Jataí, Pirenópolis, Planaltina, São Francisco de Goiás, São João D'Aliança, Serranópolis, Teresina de Goiás;GSD 20 cm;Aerofotogrametria e Perfilamento a Laser;167/2018;TOPOCART;009/2018
MS;Cassilândia;GSD 20 cm;Aerofotogrametria e Perfilamento a Laser;167/2018;TOPOCART;009/2018
DF;Brasília;GSD 20 cm;Aerofotogrametria e Perfilamento a Laser;167/2018;TOPOCART;009/2018
BA;Esplanada;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;210/2018;TOPOCART;012/2018
RN;Pedra Grande, São Miguel do Gostoso, Parazinho, João Câmara;1:1.000;Aerofotogrametria e perfilamento a laser;020/2019;TOPOCART;001/2019
PA;Abaetetuba, Acará, Ananindeua, Barcarena, Belém, Breu Branco, Goianésia do Pará, Moju, Tailândia, Tucuruí;1:1.000;Aerofotogrametria e perfilamento a laser;009/2019;TOPOCART;002/2019
MG;Araxá, Ibiá, Perdizes;GSD 15 cm;Aerofotogrametria e Perfilamento a Laser;037/2019;TOPOCART;005/2019
BA;Água Fria, América Dourada, Anguera, Antônio Cardoso, Biritinga, Cabeceiras do Paraguaçu, Cafarnaum, Feira de Santana, Irecê, Itapicuru, João Dourado, Morro do Chapéu, Nova Soure, Olinda, Santa Bárbara, Santanópolis, Santo Estêvão, Sapeaçu, Sátiro Dias;GSD 10 cm;Aerofotogrametria e perfilamento a laser;019/2019;TOPOCART;003/2019
SE;Barra dos Coqueiros, Boquim, Itaporanga D'ajuda, Lagarto, Laranjeiras, Maruim, Nossa Senhora do Socorro, Riachão dos Dantas, Salgado, Santo Amaro das Brotas, São Cristóvão, Tobias Barreto ;GSD 10 cm;Aerofotogrametria e perfilamento a laser;019/2019;TOPOCART;003/2019
RS;Camaquã, Cambará do Sul, Capão do Leão, Capivari do Sul, Caraá, Cerro Grande do Sul, Charqueadas, Cristal, Eldorado do Sul, Guaíba, Jaquirana, Mariana Pimentel, Osório, Pelotas, Rio Grande, Riozinho, Rolante, Santo Antônio da Patrulha, São Francisco de Paula, São José dos Ausentes, São Lourenço do Sul, Sentinela do Sul, Sertão Santana, Turuçu  ;1:5.000;Aerofotogrametria e perfilamento a laser;051/2019;TOPOCART;007/2019
SC;Jacinto Machado, Meleiro, Morro Grande, Nova Veneza, Siderópolis, Timbé do Sul, Urussanga;GSD 10 cm ;Aerofotogrametria e perfilamento a laser;051/2019;TOPOCART;007/2019
MA;Balsas, Estreito, Feira Nova do Maranhão, Nova Colinas, Porto Franco, Riachão, São João do Paraíso, São Pedro dos Crentes;GSD 10 cm;Aerofotogrametria e perfilamento a laser;088/2019;TOPOCART;012/2019
MG;Acaiaca, Alvinópolis, Barra Longa, Catas Altas, Diogo de Vasconcelos, Mariana, Ouro Preto, Piranga, Santa Bárbara;GSD 10 cm e GSD 30 cm;Aerofotogrametria e perfilamento a laser;069/2019;TOPOCART;009/2019
BA;Aiquara, Aracatu, Aurelino Leal, Barra da Estiva, Barra do Rocha, Brumado, Caculé, Caetité, Contendas do Sincorá, Gongogi, Ibiassucê, Ilhéus, Ipiaú, Iramaia, Itagi, Itagibá, Itajuípe, Jequié, Lagoa Real, Livramento de Nossa Senhora, Manoel Vitorino, Maracás, Mirante, Rio do Antônio, Tanhaçu, Ubaitaba, Ubatã, Uruçuca;GSD 10 cm;Aerofotogrametria e perfilamento a laser;078/2019;TOPOCART;011/2019
GO;Barro Alto, Campinaçu, Campinorte, Colinas do Sul, Hidrolina, Minaçu, Niquelândia, Santa Rita do Novo Destino, São Luíz do Norte, Uruaçu;GSD 10 cm;Aerofotogrametria e perfilamento a laser;158/2019;TOPOCART;021/2019
PR;Apucarana, Arapongas, Rolândia, Sabáudia;GSD 10 cm;Aerofotogrametria e perfilamento a laser;122/2019;TOPOCART;015/2019
SC;Araquari, Balneário Barra do Sul, Bara Velha, Guaramirim, Joinville, São Francisco do Sul, São João do Itaperiú;GSD 10 cm ;Aerofotogrametria e perfilamento a laser;095/2019;TOPOCART;013/2019
PA;Parauapebas, Canaã dos Carajás, Marabá;GSD 10 cm;Aerofotogrametria e perfilamento a laser;129/2019;TOPOCART;016/2019
TO;Araguaína, Piraquê, Monte do Carmo, Ponte Alta do Tocantins;GSD 10 cm;Aerofotogrametria e perfilamento a laser;156/2019;TOPOCART;020/2019
PE;Tacaratu, Petrolândia;GSD 10 cm;Aerofotogrametria e perfilamento a laser;156/2019;TOPOCART;020/2019
MT;Campo Verde, Chapada dos Guimarães, Diamantino, Jaciara, Juscimeira, Lucas do Rio Verde, Nobres, Nova Mutum, Rondonópolis, Rosário Oeste, Santo Antônio do Leverger, São Pedro da Cipa, Sorriso;GSD 10 cm;Aerofotogramteria e Perfilamento a Laser;171/2019;TOPOCART;022/2019
MT;Cotriguaçu, Nova Bandeirantes;GSD 10 cm;Aerofotogrametria;186/2019;TOPOCART;024/2019
SC;Mafra, Rio Negrinho, São Bento do Sul;GSD 10 cm;Aerofotogrametria e perfilamento a laser;026/2020;AEROCARTA;271/2020
PR;Rio Negro;GSD 10 cm;Aerofotogrametria e perfilamento a laser;026/2020;AEROCARTA;271/2020
SP;Sorocaba;GSD 07 cm e 10 cm;Aerofotogrametria e perfilamento a laser;237/2020;AEROCARTA;274/2020
BA;Correntina, Jaborandi;1:5.000;Aerofotogrametria e perfilamento a laser;020/2020;AEROSAT;210/2020
GO;Mambaí;1:5.000;Aerofotogrametria e perfilamento a laser;020/2020;AEROSAT;210/2020
PA;Canaã dos Carajás;1:5.000;Aerofotogrametria e perfilamento a laser;049/2020;AEROSAT;211/2020
MS;Ribas do Rio Pardo;1:5.000;Aerofotogrametria e perfilamento a laser;053/2020;AEROSAT;212/2020
MG;Descoberto, Leopoldina, Piau, Rio Novo, Santos Dumont, São João Nepomuceno;1:5.000;Aerofotogrametria e perfilamento a laser;057/2020;AEROSAT;213/2020
AC;Bujari, Cruzeiro do Sul, Feijó, Manoel Urbano. Rio Branco, Rodrigues Alves, Sena Madureira, Tarauacá;1:5.000;Aerofotogrametria e perfilamento a laser;059/2020;AEROSAT;214/2020
PR;Clevelândia, Honório Serpa, Pato Branco;1:5.000;Aerofotogrametria e perfilamento a laser;073/2020;AEROSAT;215/2020
SC;Canoinhas, Jaraguá do Sul. Schroeder, Três Barras;1:5.000;Aerofotogrametria e perfilamento a laser;117/2020;AEROSAT;219/2020
PR;São Mateus do Sul;1:5.000;Aerofotogrametria e perfilamento a laser;117/2020;AEROSAT;219/2020
RS;Alto Feliz, Dois Irmãos, Estância Velha, Farroupilha, Feliz, Ivoti, Linha Nova, Morro Reuter, Nova Petrópolia, Novo Hamburgo, Picada Café, Presidente Lucena, São Leopoldo, Vale Real;1:5.000;Aerofotogrametria e perfilamento a laser;137/2020;AEROSAT;220/2020
GO;Anápolis, Bonfinópolis, Gameleira de Goiás, Goianápolis, Goiânia, Goianira, Leopoldo de Bulhões, Luziânia, Nerópolis, Santo Antônio de Goiás, Senador Canedo, Silvânia, Terezópolis de Goiás, Trindade;1:5.000;Aerofotogrametria e perfilamento a laser;130/2020;AEROSAT;221/2020
BA;Nova Soure, Olindina, Tucano;1:5.000;Aerofotogrametria e perfilamento a laser;126/2020;AEROSAT;224/2020
RJ;Cantagalo, Cordeiro, Macaé, Macuco, Rio das Ostras, Trajano de Moraes;1:5.000;Aerofotogrametria e perfilamento a laser;124/2020;AEROSAT;225/2020
MG;Cataguases, Estrela Dalva, Leopoldina, Pirapetinga, Recreio, São João Nepomuceno;1:5.000;Aerofotogrametria e perfilamento a laser;124/2020;AEROSAT;225/2020
SP;Araçariguama, Cabreúva, Elias Fausto, Indaiatuba, Itupeva, Itu, Mairinque, Porto Feliz, Salto, São Roque, Sorocaba;1:5.000;Aerofotogrametria e perfilamento a laser;149/2020;AEROSAT;227/2020
CE;Crateús, Ibiapina, Independência, Ubajara;1:5.000;Aerofotogrametria e perfilamento a laser;152/2020;AEROSAT;228/2020
PI;São João da Fronteira;1:5.000;Aerofotogrametria e perfilamento a laser;152/2020;AEROSAT;228/2020
MT;Aripuanã;1:5.000;Aerofotogrametria e perfilamento a laser;178/2020;AEROSAT;234/2020
PE;Araripina;1:5.000;Aerofotogrametria e perfilamento a laser;211/2020;AEROSAT;236/2020
PI;Caldeirão Grande do Piauí;1:5.000;Aerofotogrametria e perfilamento a laser;211/2020;AEROSAT;236/2020
CE;Salitre;1:5.000;Aerofotogrametria e perfilamento a laser;211/2020;AEROSAT;236/2020
BA;Campo Formoso, Morro do Chapéu, Ourolândia, Sento Sé, Umburana;1:5.000;Aerofotogrametria e perfilamento a laser;234/2020;AEROSAT;237/2020
PA;Juruti;;Aerofotogrametria e perfilamento a laser;251/2020;AEROSAT;239/2020
PA;Marabá;GSD 0,05 cm;Aerofotogrametria e perfilamento a laser;284/2020;AEROSAT;245/2020
MT;Mirassol Doeste;GSD 10 cm;Aerofotogrametria ;075/2020;AEROTRI;109/2020
MT;Alto Garças ;GSD 10 cm;Aerofotogrametria e perfilamento a laser;082/2020;AEROTRI;116/2020
SP;Cubatão, Praia Grande, Santos, São Bernardo do Campo, São Vicente;;Aerofotogrametria e perfilamento a laser;143/2020;AEROTRI;117/2020
SP;Campos do Jordão;GSD 06 cm;Aerofotogrametria ;046/2020;BASE;B-1299/2020
BA;Cachoeira, Camaçari, Candeias, Cruz das Almas, Dias Dávila, Salvador, Santo Amaro, São Felipe, São Félix, São Francisco do Conde, São Sebastião do Passé, Sapeaçu, Simões Filho;GSD 08 cm;Aerofotogrametria e perfilamento a laser;061/2020;BASE;B-1300/2020
SC;Balneário Camboriú, Balneário Piçarras, Camboriú, Gaspar, Ilhota, Itajaí, Itapema, Navegantes, Penha;GSD 10 cm;Aerofotogrametria e perfilamento a laser;163/2020;BASE;B-1302/2020
SC;Balneário Piçarras, Barra Velha, Gaspar, Ilhota, Luiz Alves, Navegantes, Penha;GSD 10 cm;Aerofotogrametria e perfilamento a laser;245/2020;BASE;B-1291D/2020
PR;Londrina;GSD 02 cm;Aerofotogrametria ;007/2020;ENGEFOTO;1144G/2020
PR;Faxinal, Londrina, Marilândia do Sul, Mauá da Serra, Tamarana;1:37500;Aerofotogrametria e perfilamento a laser;017/2020;ENGEFOTO;0001/2020
SC;Balneário Camboriú, Balneário Piçarras, Barra Velha, Camboriú, Gaspar, Ilhota, Itajaí, Itapema, Luiz Alves, Navegantes, Penha;1:18750;Aerofotogrametria ;045/2020;ENGEFOTO;0002/2020
SC;Blumenau, Campo Algere, Corupá, Guaramirim, Jaraguá do Sul, Joinville, Massaranduba, Pomerode, Rio dos Cedros, São Bento do Sul, Schroeder;1:18750;Perfilamento Laser;051/2020;ENGEFOTO;0003/2020
MG;Conceição do Pará, Divinópolis, Leandro Ferreira, Nova Serrana, Perdião, São Gonçalo do Pará;GSD 10 cm;Aerofotogrametria e perfilamento a laser;122/2020;ENGEFOTO;1166/2020
SP;Espírito Santo do Turvo, Paulistânia;GSD 03 cm;Aerofotogrametria ;146/2020;ENGEFOTO;0006/2020
PR;Doutor Ulysses, Jaguariaíva, Sengés;1:12.5000;Perfilamento Laser;171/2020;ENGEFOTO;0008/2020
RJ;Areal, Comendador Levy Gasparian, Duque de Caxias, Petrópolis, Rio de Janeiro, Teresópolis, Três Rios;GSD 18 cm;Aerofotogrametria ;196/2020;ENGEFOTO;0010/2020
MG;Alfredo Vasconcelos, Barbacena, Belmiro Braga, Belo Horizonte, Brumadinho, Caranaíba, Carandaí, Congonhas, Conselheiro Lafaiete, Cristiano Otoni, Ewbank da Câmara, Itabirito, Juiz de Fora, Matias Barbosa, Moeda, Nova Lima, Oliveira Fortes, Ouro Preto, Queluzito, Ressaquinha, Santa Bárbara do Tugúrio, Santana do Deserto, Santos Dumont, Simão Pereira;GSD 18 cm;Aerofotogrametria ;196/2020;ENGEFOTO;0010/2020
AP;Macapá;GSD 11 cm;Aerofotogrametria ;217/2020;ENGEFOTO;0011/2020
SC;Navegantes;GSD 2 cm;Aerofotogrametria ;222/2020;ENGEFOTO;1144J/2020
SP;Bertioga, Biritiba Mirim, Cubatão, Guarujá, Iguape, Itanhaém, Itariri, Mongaguá, Peruíbe, Praia Grande, Salesópolis, Santo André, Santos, São Bernardo do Campo, São Sebastião, São Vicente;GSD 15 cm;Aerofotogrametria e perfilamento a laser;016/2020;ENGEMAP;263/2020
SP;Águas de São Pedro, Agudos, Analândia, Bariri, Barra Bonita, Bauru, Boracéia, Brotas, Charqueada, Cordeirópolis, Corumbataí, Dois Córregos, Ipeúna, Itapuí, Itirapina, Jaú, Limeira, Mineiros do Tietê, Pederneiras, Piracicaba, Rio Claro, Santa Gertrudes, Santa Maria da Serra, São Carlos, São Pedro, Torrinha;GSD 10 cm e GSD 30 cm;Aerofotogrametria e perfilamento a laser;030/2020;ENGEMAP;265/2020
MG;Alvorada de Minas, Conceição do Mato Dentro;GSD 8 cm;Aerofotogrametria e perfilamento a laser;034/2020;ENGEMAP;251B/2020
PB;Alhandra, Bayeux, Caaporã, Capim, Conde, João Pessoa, Mamanguape, Mataraca, Pedras de Fogo, Rio Tinto, Santa Rita;GSD 7 cm;Aerofotogrametria e perfilamento a laser;039/2020;ENGEMAP;266/2020
RN;Baía Formosa, Canguaretama, Pedro Velho;GSD 7 cm;Aerofotogrametria e perfilamento a laser;039/2020;ENGEMAP;266/2020
PE;Goiana, Itambé;GSD 7 cm;Aerofotogrametria e perfilamento a laser;039/2020;ENGEMAP;266/2020
PR;Andirá, Bandeirantes, Barra do Jacaré, Cambará, Cornélio Procópio, Ibiporã, Jacarezinho, Jataizinho, Londrina, Santa Mariana, Santo Antônio da Platina, Uraí;GSD 7 cm;Aerofotogrametria e perfilamento a laser;055/2020;ENGEMAP;267/2020
SP;Gália, Garça, Vera Cruz;GSD 10 cm;Aerofotogrametria e perfilamento a laser;096/2020;ENGEMAP;274/2020
MT;Rondonópolis;GSD 10 cm;Aerofotogrametria e perfilamento a laser;110/2020;ENGEMAP;275/2020
SP;Araçatuba, Bilac, Birigui, Buritama, Gabriel Monteiro, Guararapes, Lavínia, Mirandópolis, Pereira Barreto, Piacatu, Santo Antônio do Aracanguá, Sud Mennucci, Valparaíso;GSD 25 cm;Aerofotogrametria ;118/2020;ENGEMAP;278/2020
MT;Mirassol Doeste;GSD 10 cm;Aerofotogrametria e perfilamento a laser;123/2020;ENGEMAP;280/2020
MT;Alto Garças ;GSD 10 cm;Aerofotogrametria e perfilamento a laser;136/2020;ENGEMAP;281/2020
ES;Anchieta, Aracruz, Atilio Vivacqua, Cachoeiro de Itapemirim, Cariacica, Conceição da Barra, Fundão, Guarapari, Ibiraçu, Iconha, Itapemirim, Jaguaré, João Neiva, Linhares, Mimoso do Sul, Pedro Canário, Pinheiro, Presidente Kennedy, Rio Novo do Sul, São Mateus, Serra, Sooretama, Viana, Vila Velha;GSD 2,5 cm;Aerofotogrametria ;142/2020;ENGEMAP;282V/2020
RJ;Campos dos Goytacazes;GSD 2,5 cm;Aerofotogrametria ;142/2020;ENGEMAP;282V/2020
BA;Mucuri;GSD 2,5 cm;Aerofotogrametria ;142/2020;ENGEMAP;282V/2020
TO;Guaraí;GSD 10 cm;Aerofotogrametria e perfilamento a laser;225/2020;ENGEMAP;289/2020
MA;Barão de Grajaú, Buriti Bravo, Colinas, Fortuna, Governador Eugênio Barros, Governador Luiz Rocha, Graça Aranha, Jatobá, Lagoa do Maro, Mirador, Nova Iorque, Paraibano, Passagem Franca, Pastos Bons, Santa Filomena do Maranhão, São Domingos do Maranhão, São João dos Patos, Sucupira do Norte, Sucupira do Riachão, Tuntum;GSD 10 cm;Aerofotogrametria ;083/2020;ESTEIO;902/2020
PI;Guadalupe, Porto Alegre do Piauí ;GSD 10 cm;Aerofotogrametria ;083/2020;ESTEIO;902/2020
AP;Amapá, Calçoene, Ferreira Gomes, Laranjal do Jari, Macapá, Mazagão, Oiapoque, Pedra Branca do Amapari, Porto Grande, Pracuúba, Santana, Serra do Navio, Tartarugalzinho;GSD 10 cm;Aerofotogrametria ;102/2020;ESTEIO;001/2020
PR;Curitiba;GSD 10 cm;Aerofotogrametria e perfilamento a laser;187/2020;ESTEIO;002/2020
MG;Catas Altas, Sabará, Santa Bárbara, Santa Luzia;1:5.000;Perfilamento Laser;270/2020;ESTEIO;003/2020
SP;Barueri, Caieiras, Cajamar, Cotia, Diadema, Embu-Guaçu, Embu, Ferraz de Vasconcelos, Guarulhos, Itanhaém, Itapecerica da Serra, Itaquaquecetuba, Juquitiba, Mairiporã, Mauá, Osasco, Poá, Santana de Parnaíba, Santo André, São Bernardo do Campo, São Caetano do Sul, São Paulo, São Vicente, Taboão da Serra;;Aerofotogrametria e perfilamento a laser;074/2020;FOTOTERRA;FPR03/2020
BA;Belmonte, Canavieiras, Eunápolis, Itabela, Itagimirim, Itapebi, Porto Seguro, Santa Cruz Cabrália;;Perfilamento Laser;155/2020;FOTOTERRA;FPR04/2020
SP;Campinas, Piracicaba;;Aerofotogrametria e perfilamento a laser;177/2020;FOTOTERRA;FPR05/2020
PA;Almeirim, Belterra, Paragominas, Placas, Rurópolis, Santarém;;Perfilamento Laser;190/2020;FOTOTERRA;FPR07/2020
MT;Canarana, Feliz Natal, Nova Ubiratã, Querência, União do Sul;;Perfilamento Laser;190/2020;FOTOTERRA;FPR07/2020
AM;Manaus;;Perfilamento Laser;190/2020;FOTOTERRA;FPR07/2020
AP;Pedra Branca do Amapari;;Perfilamento Laser;190/2020;FOTOTERRA;FPR07/2020
AC;Porto Acre, Rio Branco, Senador Guimard;;Perfilamento Laser;190/2020;FOTOTERRA;FPR07/2020
SP;Arujá, Barueri, Carapicuíba, Cotia, Embu-Guaçu, Embu, Ferraz de Vasconcelos, Guarulhos, Ribeirão Pires, Itapecerica da Serra, Itaquaquecetuba, Mauá, Osasco, Poá, Santana de Parnaíba, Santo André, São Bernardo do Campo, São Paulo, Suzano, Taboão da Serra;;Aerofotogrametria e perfilamento a laser;213/2020;FOTOTERRA;FPR08/2020
SP;Euclides da Cunha Paulista, Marabá Paulista, Mirante do Paranapanema, Pirapozinho, Presidente Epitácio, Sandovalina, Teodoro Sampaio;;Perfilamento Laser;275/2020;FOTOTERRA;FPR10/2020
PR;Itaguajé, Paranapoema;;Perfilamento Laser;275/2020;FOTOTERRA;FPR10/2020
MS;Vicentina;;Aerofotogrametria ;119/2020;G.A. Assessoria;002/2020
PR;Maringá, Paiçandu;;Aerofotogrametria ;139/2020;G.A. Assessoria;005/2020
MS;Jateí;;Aerofotogrametria ;159/2020;G.A. Assessoria;004/2020
PR;Tapejara;;Aerofotogrametria ;167/2020;G.A. Assessoria;006/2020
RS;Balneário Pinhal, Capivari do Sul, Palmares do Sul;;Aerofotogrametria ;062/2020;GAUSSGEO;222/2020
RS;Caraá, Glorinha, Santo Antônio da Patrulha;GSD 10 cm;Aerofotogrametria e perfilamento a laser;088/2020;GEODADOS;001/2020
RS;Igrejinha, Parobé, Riozinho, Rolante, Taquara, Três Coroas;GSD 10 cm;Aerofotogrametria e perfilamento a laser;099/2020;GEODADOS;002/2020
MG;Manhuaçu;GSD 6 cm;Aerofotogrametria e perfilamento a laser;147/2020;GEODADOS;003/2020
MG;Araçuaí;GSD 10 cm;Aerofotogrametria e perfilamento a laser;210/2020;GEODADOS;004/2020
SC;Blumenau, Campo Alegre, Corupá, Guaramirim, Jaraguá do Sul, Joinville, Massaranduba, Pomerode, Rio dos Cedros, São Bento do Sul, Schroeder;;Aerofotogrametria ;011/2020;GEOJÁ;001/2020
SC;Abelardo Luz, Água Doce, Faxinal dos Guedes, Ipumirim, Irani, Lindóia do Sul, Passos Maia, Ponte Serrada, Vargeão;;Aerofotogrametria ;019/2020;GEOJÁ;002/2020
GO;Abadia de Goiás, Aparecida de Goiânia, Aragoiânia, Goiânia, Goianira, Hidrolândia, Senador Canedo;;Aerofotogrametria ;028/2020;GEOJÁ;004/2020
